code,name,update_time,last_price,open_price,high_price,low_price,prev_close_price,volume,turnover,turnover_rate,suspension,listing_date,lot_size,price_spread,stock_owner,ask_price,bid_price,ask_vol,bid_vol,enable_margin,mortgage_ratio,long_margin_initial_ratio,enable_short_sell,short_sell_rate,short_available_volume,short_margin_initial_ratio,amplitude,avg_price,bid_ask_ratio,volume_ratio,highest52weeks_price,lowest52weeks_price,highest_history_price,lowest_history_price,close_price_5min,after_volume,after_turnover,sec_status,equity_valid,issued_shares,total_market_val,net_asset,net_profit,earning_per_share,outstanding_shares,circular_market_val,net_asset_per_share,ey_ratio,pe_ratio,pb_ratio,pe_ttm_ratio,dividend_ttm,dividend_ratio_ttm,dividend_lfy,dividend_lfy_ratio,wrt_valid,wrt_conversion_ratio,wrt_type,wrt_strike_price,wrt_maturity_date,wrt_end_trade,wrt_recovery_price,wrt_street_vol,wrt_issue_vol,wrt_street_ratio,wrt_delta,wrt_implied_volatility,wrt_premium,wrt_leverage,wrt_ipop,wrt_break_even_point,wrt_conversion_price,wrt_price_recovery_ratio,wrt_score,wrt_upper_strike_price,wrt_lower_strike_price,wrt_inline_price_status,wrt_issuer_code,option_valid,option_type,strike_time,option_strike_price,option_contract_size,option_open_interest,option_implied_volatility,option_premium,option_delta,option_gamma,option_vega,option_theta,option_rho,option_net_open_interest,option_expiry_date_distance,option_contract_nominal_value,option_owner_lot_multiplier,option_area_type,option_contract_multiplier,index_option_type,index_valid,index_raise_count,index_fall_count,index_equal_count,plate_valid,plate_raise_count,plate_fall_count,plate_equal_count,future_valid,future_last_settle_price,future_position,future_position_change,future_main_contract,future_last_trade_time,trust_valid,trust_dividend_yield,trust_aum,trust_outstanding_units,trust_netAssetValue,trust_premium,trust_assetClass,pre_price,pre_high_price,pre_low_price,pre_volume,pre_turnover,pre_change_val,pre_change_rate,pre_amplitude,after_price,after_high_price,after_low_price,after_change_val,after_change_rate,after_amplitude,overnight_price,overnight_high_price,overnight_low_price,overnight_volume,overnight_turnover,overnight_change_val,overnight_change_rate,overnight_amplitude
US.TSLA260810C160000,TSLA 260810 160.00C,2026-08-07 09:30:00,159.5794,0.0,0.0,0.0,159.5794,0.0,0.0,0.0,False,N/A,100,0.05,US.TSLA,170.5,166.4,1.0,1.0,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,NORMAL,False,,,,,,,,,,,,,,,,,False,,N/A,,,,,,,,,,,,,,,,,,,N/A,,True,CALL,2026-08-10,160.0,100.0,0,0.0,-2.739,0.0,0.0,0.0,0.0,0.0,N/A,1,N/A,N/A,AMERICAN,100.0,N/A,False,,,,False,,,,False,,,,,,False,,,,,,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
US.TSLA260810P160000,TSLA 260810 160.00P,2026-08-07 10:53:21,0.01,0.01,0.01,0.01,0.0001,3500.0,3500.0,0.0,False,N/A,100,0.01,US.TSLA,0.01,0.0,2500.0,0.0,,,,,,,,0.0,0.01,-100.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,NORMAL,False,,,,,,,,,,,,,,,,,False,,N/A,,,,,,,,,,,,,,,,,,,N/A,,True,PUT,2026-08-10,160.0,100.0,418,400.947,51.308,-0.000483124,2.3201e-05,0.000318612,-0.009999987,-4.121e-06,N/A,1,N/A,N/A,AMERICAN,100.0,N/A,False,,,,False,,,,False,,,,,,False,,,,,,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
US.TSLA260810C165000,TSLA 260810 165.00C,2026-08-07 09:30:00,154.5814,0.0,0.0,0.0,154.5814,0.0,0.0,0.0,False,N/A,100,0.05,US.TSLA,165.5,161.4,1.0,1.0,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,NORMAL,False,,,,,,,,,,,,,,,,,False,,N/A,,,,,,,,,,,,,,,,,,,N/A,,True,CALL,2026-08-10,165.0,100.0,0,0.0,-2.738,0.0,0.0,0.0,0.0,0.0,N/A,1,N/A,N/A,AMERICAN,100.0,N/A,False,,,,False,,,,False,,,,,,False,,,,,,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
US.TSLA260810P165000,TSLA 260810 165.00P,2026-08-07 09:30:02,0.03,0.03,0.03,0.03,0.0001,1.0,3.0,0.0,False,N/A,100,0.01,US.TSLA,0.01,0.0,1000.0,0.0,,,,,,,,0.0,0.03,-100.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,NORMAL,False,,,,,,,,,,,,,,,,,False,,N/A,,,,,,,,,,,,,,,,,,,N/A,,True,PUT,2026-08-10,165.0,100.0,428,422.104,49.793,-0.001276656,5.3914e-05,0.000779393,-0.029999957,-1.2366e-05,N/A,1,N/A,N/A,AMERICAN,100.0,N/A,False,,,,False,,,,False,,,,,,False,,,,,,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
US.TSLA260810C170000,TSLA 260810 170.00C,2026-08-07 09:30:00,149.5834,0.0,0.0,0.0,149.5834,0.0,0.0,0.0,False,N/A,100,0.05,US.TSLA,160.5,156.4,1.0,1.0,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,NORMAL,False,,,,,,,,,,,,,,,,,False,,N/A,,,,,,,,,,,,,,,,,,,N/A,,True,CALL,2026-08-10,170.0,100.0,0,0.0,-2.738,0.0,0.0,0.0,0.0,0.0,N/A,1,N/A,N/A,AMERICAN,100.0,N/A,False,,,,False,,,,False,,,,,,False,,,,,,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
US.TSLA260810P170000,TSLA 260810 170.00P,2026-08-05 09:30:00,0.0001,0.0,0.0,0.0,0.0001,0.0,0.0,0.0,False,N/A,100,0.01,US.TSLA,0.01,0.0,10.0,0.0,,,,,,,,0.0,0.0,-100.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,NORMAL,False,,,,,,,,,,,,,,,,,False,,N/A,,,,,,,,,,,,,,,,,,,N/A,,True,PUT,2026-08-10,170.0,100.0,114,277.617,48.262,-8.808e-06,7.71e-07,7.349e-06,-9.9999e-05,2.02e-07,N/A,1,N/A,N/A,AMERICAN,100.0,N/A,False,,,,False,,,,False,,,,,,False,,,,,,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
US.TSLA260810C175000,TSLA 260810 175.00C,2026-08-07 09:30:00,144.5854,0.0,0.0,0.0,144.5854,0.0,0.0,0.0,False,N/A,100,0.05,US.TSLA,155.5,151.4,1.0,1.0,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,NORMAL,False,,,,,,,,,,,,,,,,,False,,N/A,,,,,,,,,,,,,,,,,,,N/A,,True,CALL,2026-08-10,175.0,100.0,0,0.0,-2.737,0.0,0.0,0.0,0.0,0.0,N/A,1,N/A,N/A,AMERICAN,100.0,N/A,False,,,,False,,,,False,,,,,,False,,,,,,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
US.TSLA260810P175000,TSLA 260810 175.00P,2026-08-06 09:30:00,0.0001,0.0,0.0,0.0,0.0001,0.0,0.0,0.0,False,N/A,100,0.01,US.TSLA,0.05,0.0,1.0,0.0,,,,,,,,0.0,0.0,-100.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,NORMAL,False,,,,,,,,,,,,,,,,,False,,N/A,,,,,,,,,,,,,,,,,,,N/A,,True,PUT,2026-08-10,175.0,100.0,84,265.797,46.74,-9.194e-06,8.39e-07,7.656e-06,-9.9999e-05,2.06e-07,N/A,1,N/A,N/A,AMERICAN,100.0,N/A,False,,,,False,,,,False,,,,,,False,,,,,,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
US.TSLA260810C180000,TSLA 260810 180.00C,2026-08-07 09:30:00,139.5875,0.0,0.0,0.0,139.5875,0.0,0.0,0.0,False,N/A,100,0.05,US.TSLA,150.5,146.4,1.0,1.0,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,NORMAL,False,,,,,,,,,,,,,,,,,False,,N/A,,,,,,,,,,,,,,,,,,,N/A,,True,CALL,2026-08-10,180.0,100.0,0,0.0,-2.736,0.0,0.0,0.0,0.0,0.0,N/A,1,N/A,N/A,AMERICAN,100.0,N/A,False,,,,False,,,,False,,,,,,False,,,,,,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
US.TSLA260810P180000,TSLA 260810 180.00P,2026-08-06 09:30:00,0.0001,0.0,0.0,0.0,0.0001,0.0,0.0,0.0,False,N/A,100,0.01,US.TSLA,0.05,0.0,1.0,0.0,,,,,,,,0.0,0.0,-100.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,NORMAL,False,,,,,,,,,,,,,,,,,False,,N/A,,,,,,,,,,,,,,,,,,,N/A,,True,PUT,2026-08-10,180.0,100.0,57,254.301,45.218,-9.602e-06,9.14e-07,7.98e-06,-9.9999e-05,2.1e-07,N/A,1,N/A,N/A,AMERICAN,100.0,N/A,False,,,,False,,,,False,,,,,,False,,,,,,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
