2026-08-10 05:14:53,697 | 41702 | 4613633536 | [open_context_base.py:410] _init_connect_sync: New connect ready: conn=7492433267534364893(1) context=<futu.quote.open_quote_context.OpenQuoteContext object at 0x10c34fa30>
2026-08-10 12:25:27,884 | 50770 | 4660352512 | [open_context_base.py:410] _init_connect_sync: New connect ready: conn=7492541623846258092(1) context=<futu.quote.open_quote_context.OpenQuoteContext object at 0x11fccc520>
2026-08-10 14:16:31,242 | 53019 | 4376536576 | [open_context_base.py:410] _init_connect_sync: New connect ready: conn=7492569572128807073(1) context=<futu.quote.open_quote_context.OpenQuoteContext object at 0x1198a0520>
[US.TSLA] snapshot saved: 2144 contracts -> US_TSLA_2026-08-10.csv
[US.NVDA] snapshot saved: 1236 contracts -> US_NVDA_2026-08-10.csv
watching 24 contracts, polling every 30s. Ctrl-C to stop.

loaded 9925 previously-seen ticks from disk
14:16:53  new ticks: 0  (cumulative unique: 9925)
14:17:24  new ticks: 0  (cumulative unique: 9925)
14:17:54  new ticks: 0  (cumulative unique: 9925)
14:18:25  new ticks: 0  (cumulative unique: 9925)
14:18:56  new ticks: 0  (cumulative unique: 9925)
14:19:27  new ticks: 0  (cumulative unique: 9925)
14:19:57  new ticks: 0  (cumulative unique: 9925)
14:20:28  new ticks: 0  (cumulative unique: 9925)
14:20:59  new ticks: 0  (cumulative unique: 9925)
14:21:29  new ticks: 0  (cumulative unique: 9925)
14:22:00  new ticks: 0  (cumulative unique: 9925)
14:22:31  new ticks: 0  (cumulative unique: 9925)
14:23:02  new ticks: 0  (cumulative unique: 9925)
14:23:32  new ticks: 0  (cumulative unique: 9925)
14:24:03  new ticks: 0  (cumulative unique: 9925)
14:24:34  new ticks: 0  (cumulative unique: 9925)
14:26:16  new ticks: 0  (cumulative unique: 9925)
14:27:58  new ticks: 0  (cumulative unique: 9925)
14:29:39  new ticks: 0  (cumulative unique: 9925)
14:30:26  new ticks: 99  (cumulative unique: 10024)
14:31:04  new ticks: 155  (cumulative unique: 10179)
14:31:40  new ticks: 128  (cumulative unique: 10307)
14:32:16  new ticks: 86  (cumulative unique: 10393)
14:32:52  new ticks: 94  (cumulative unique: 10487)
14:33:28  new ticks: 82  (cumulative unique: 10569)
14:34:04  new ticks: 108  (cumulative unique: 10677)
14:34:41  new ticks: 132  (cumulative unique: 10809)
14:35:17  new ticks: 99  (cumulative unique: 10908)
14:35:54  new ticks: 96  (cumulative unique: 11004)
14:36:30  new ticks: 107  (cumulative unique: 11111)
14:37:06  new ticks: 113  (cumulative unique: 11224)
14:37:43  new ticks: 91  (cumulative unique: 11315)
14:38:19  new ticks: 85  (cumulative unique: 11400)
14:38:56  new ticks: 83  (cumulative unique: 11483)
14:39:32  new ticks: 73  (cumulative unique: 11556)
14:40:09  new ticks: 91  (cumulative unique: 11647)
14:40:45  new ticks: 79  (cumulative unique: 11726)
14:41:21  new ticks: 98  (cumulative unique: 11824)
14:41:58  new ticks: 74  (cumulative unique: 11898)
14:42:34  new ticks: 72  (cumulative unique: 11970)
14:43:11  new ticks: 80  (cumulative unique: 12050)
14:43:47  new ticks: 77  (cumulative unique: 12127)
14:44:23  new ticks: 54  (cumulative unique: 12181)
14:45:00  new ticks: 77  (cumulative unique: 12258)
14:45:36  new ticks: 93  (cumulative unique: 12351)
14:46:13  new ticks: 83  (cumulative unique: 12434)
14:46:49  new ticks: 118  (cumulative unique: 12552)
14:47:25  new ticks: 98  (cumulative unique: 12650)
